region,waterDaily,population,r,g,b
NorthAmerica,454,620 million,255,236,35
SouthAmerica,240,680 million,76,184,75
Europe,144,740 million,216,32,58
Asia,95,5 billion,78,107,176
Africa,47,1.5 billion,246,135,46
Australia,340,47 million,25,70,153
Antarctica,0,0,255,255,255
