magnitude,cdi,mmi,sig,nst,dmin,Year,Month
6.5,0,6,650,405,0,2003,12
6.5,7,9,1390,65,0.04685,2003,12
6.8,0,7,711,447,0,2003,12
6.6,0,6,670,384,0,2003,11
6.5,0,6,650,487,0,2003,11
6.6,0,5,670,475,0,2003,11
7,0,5,754,568,0,2003,10
6.7,0,6,691,556,0,2003,10
6.7,0,7,691,643,0,2003,10
6.5,0,5,650,586,0,2003,9
7.3,0,7,820,667,0,2003,9
7.4,0,7,842,514,0,2003,9
8.16,0,9,1024,0,0,2003,9
6.6,0,7,670,518,0,2003,9
7.2,0,7,798,428,0,2003,8
7.6,0,6,889,315,0,2003,8
6.5,0,6,650,156,0,2003,7
6.8,0,7,711,398,0,2003,6
6.9,0,5,732,733,0,2003,6
6.6,0,6,670,419,0,2003,6
7,0,6,754,473,0,2003,5
7,0,7,754,690,0,2003,5
6.8,0,9,711,534,0,2003,5
6.5,0,7,650,247,0,2003,3
6.8,0,7,711,431,0,2003,3
7.6,0,7,889,551,0,2003,1
6.5,0,6,650,316,0,2003,1
7.3,0,6,820,457,0,2003,1
6.7,0,5,691,323,0,2003,1
6.7,0,6,691,453,0,2002,12
7.9,8,9,1750,0,0,2002,11
7.4,0,7,842,418,0,2002,11
6.6,0,7,670,0,0,2002,10
6.7,0,7,691,250,0,2002,10
7.6,0,7,889,375,0,2002,10
6.5,0,6,650,646,0,2002,9
7.6,0,7,889,428,0,2002,9
6.5,0,4,650,260,0,2002,8
6.5,0,7,650,533,0,2002,7
6.5,0,8,650,555,0,2002,6
6.6,0,7,670,420,0,2002,6
6.7,0,5,691,272,0,2002,6
7.1,0,7,776,257,0,2002,4
6.7,0,7,691,462,0,2002,4
6.8,0,6,711,292,0,2002,4
7.1,0,6,776,550,0,2002,3
6.5,0,5,650,486,0,2002,3
7.5,0,7,865,321,0,2002,3
7.4,0,5,842,138,0,2002,3
6.6,0,6,670,444,0,2002,2
6.5,0,7,650,482,0,2002,2
6.7,0,8,691,333,0,2002,1
6.6,0,6,670,386,0,2002,1
7.2,0,6,798,427,0,2002,1
6.8,0,7,711,385,0,2001,12
6.8,0,5,711,499,0,2001,12
6.5,0,5,650,605,0,2001,12
7.8,0,9,936,368,0,2001,11
7,0,7,754,254,0,2001,10
7.5,0,6,865,234,0,2001,10
7,0,6,754,482,0,2001,10
6.5,0,6,650,174,0,2001,9
6.6,6,6,754,0,0,2001,7
6.5,0,8,650,483,0,2001,7
7.6,0,7,889,398,0,2001,7
6.6,0,7,670,324,0,2001,7
6.7,0,6,691,422,0,2001,6
8.4,0,8,1086,518,0,2001,6
6.7,0,6,691,282,0,2001,4
6.8,0,7,711,596,0,2001,3
6.5,0,6,650,206,0,2001,3
6.8,7,7,1441,67,0,2001,2
7.1,0,7,776,426,0,2001,2
7.4,0,6,842,221,0,2001,2
6.6,0,8,670,273,0,2001,2
7.7,0,9,912,472,0,2001,1
6.9,0,6,732,117,0,2001,1
7.7,0,8,912,427,0,2001,1
6.9,5,7,745,0,0,2001,1
7.1,0,7,776,372,0,2001,1
6.8,0,5,711,64,0,2001,1
7.5,0,7,865,324,0,2001,1
