,I try to buy British food whenever I can,British food tends to be more expensive than imported food,I usually check the label to see which country my groceries come from,I think that British food tastes better,It's important to support British farmers,I'm prepared to pay more for British food
Strongly agree,17,11,14,12,29,9
Agree,42,31,33,27,49,29
Neither agree nor disagree,31,46,27,48,18,38
Disagree,8,11,20,10,3,20
Strongly disagree,2,1,5,2,1,4
